"", "ID1", "Year", "ID2", "Latitude", "Longitude", "Elevation", "Tmax01", "Tmax02", "Tmax03", "Tmax04", "Tmax05", "Tmax06", "Tmax07", "Tmax08", "Tmax09", "Tmax10", "Tmax11", "Tmax12", "Tmin01", "Tmin02", "Tmin03", "Tmin04", "Tmin05", "Tmin06", "Tmin07", "Tmin08", "Tmin09", "Tmin10", "Tmin11", "Tmin12", "Tave01", "Tave02", "Tave03", "Tave04", "Tave05", "Tave06", "Tave07", "Tave08", "Tave09", "Tave10", "Tave11", "Tave12", "PPT01", "PPT02", "PPT03", "PPT04", "PPT05", "PPT06", "PPT07", "PPT08", "PPT09", "PPT10", "PPT11", "PPT12", "DD_0_01", "DD_0_02", "DD_0_03", "DD_0_04", "DD_0_05", "DD_0_06", "DD_0_07", "DD_0_08", "DD_0_09", "DD_0_10", "DD_0_11", "DD_0_12", "DD5_01", "DD5_02", "DD5_03", "DD5_04", "DD5_05", "DD5_06", "DD5_07", "DD5_08", "DD5_09", "DD5_10", "DD5_11", "DD5_12", "DD_18_01", "DD_18_02", "DD_18_03", "DD_18_04", "DD_18_04", "DD_18_05", "DD_18_06", "DD_18_07", "DD_18_08", "DD_18_09", "DD_18_10", "DD_18_11", "DD_18_12", "DD18_01", "DD18_02", "DD18_03", "DD18_04", "DD18_05", "DD18_06", "DD18_07", "DD18_08", "DD18_09", "DD18_10", "DD18_11", "DD18_12", "NFFD01", "NFFD02", "NFFD03", "NFFD04", "NFFD05", "NFFD06", "NFFD07", "NFFD08", "NFFD09", "NFFD10", "NFFD11", "NFFD12", "PAS01", "PAS02", "PAS03", "PAS04", "PAS05", "PAS06", "PAS07", "PAS08", "PAS09", "PAS10", "PAS11", "PAS12", "Eref01", "Eref02", "Eref03", "Eref04", "Eref05", "Eref06", "Eref07", "Eref08", "Eref09", "Eref10", "Eref11", "Eref12", "CMD01", "CMD02", "CMD03", "CMD04", "CMD05", "CMD06", "CMD07", "CMD08", "CMD09", "CMD10", "CMD11", "CMD12", "RH01", "RH02", "RH03", "RH04", "RH05", "RH06", "RH07", "RH08", "RH09", "RH10", "RH11", "RH12", "NA_L1NAME"
"646007", "ak047.crn", 2008, "BRFR", 68.1, -140.9, 100, -24.4, -20.1, -14.3, 0.4, 11.5, 19.9, 20.9, 15.4, 8.4, -4, -14.9, -18.9, -33.2, -30.1, -26.2, -10.5, 0.8, 8, 10.7, 6, 0.6, -11.7, -21.4, -28.5, -28.8, -25.1, -20.3, -5, 6.2, 13.9, 15.8, 10.7, 4.5, -7.8, -18.1, -23.7, 10, 10, 10, 9, 0, 11, 34, 12, 9, 18, 8, 13, 891, 702, 630, 173, 3, 0, 0, 0, 7, 217, 540, 733, 0, 0, 0, 3, 65, 268, 336, 175, 40, 1, 0, 0, 1445, 1203, 1188, 690, 690, 367, 129, 81, 228, 406, 804, 1083, 1288, 0, 0, 0, 0, 1, 8, 13, 1, 0, 0, 0, 0, 0, 0, 0, 0, 17, 29, 31, 30, 16, 0, 0, 0, 10, 10, 10, 9, 0, 0, 0, 0, 2, 17, 8, 13, 0, 0, 0, 0, 60, 96, 89, 53, 20, 0, 0, 0, 0, 0, 0, 0, 60, 85, 55, 40, 12, 0, 0, 0, 56, 52, 47, 56, 65, 63, 68, 70, 73, 67, 70, 58, "TAIGA"
"646334", "ak047.crn", 1956, "BRFR", 68.1, -140.9, 100, -26.3, -25.7, -9.7, -0.6, 7.6, 17.3, 22, 12.8, 7.7, -6.9, -19.3, -22.8, -34.9, -34.7, -21.6, -13.6, -4.1, 6.5, 10.9, 4.3, -0.8, -14, -26.7, -31.7, -30.6, -30.2, -15.6, -7.1, 1.8, 11.9, 16.5, 8.5, 3.4, -10.5, -23, -27.3, 10, 5, 6, 6, 0, 31, 37, 57, 10, 20, 17, 13, 946, 844, 487, 220, 28, 0, 0, 0, 11, 322, 684, 843, 0, 0, 0, 1, 16, 208, 356, 111, 29, 1, 0, 0, 1500, 1346, 1045, 753, 753, 503, 184, 65, 296, 437, 885, 1229, 1398, 0, 0, 0, 0, 0, 3, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29, 31, 28, 12, 0, 0, 0, 10, 5, 6, 6, 0, 0, 0, 5, 9, 18, 12, 13, 0, 0, 0, 0, 51, 85, 94, 46, 20, 0, 0, 0, 0, 0, 0, 0, 51, 54, 57, 0, 10, 0, 0, 0, 56, 54, 49, 48, 59, 66, 66, 72, 70, 69, 64, 52, "TAIGA"
"646661", "ak047.crn", 2007, "BRFR", 68.1, -140.9, 100, -21.7, -21.7, -18.3, 0.7, 10.5, 20.6, 22.9, 18.2, 9.1, -4.3, -10.5, -16.4, -30.8, -30.6, -29.9, -10.6, -0.3, 8.7, 11.4, 7.6, 0.8, -10.5, -17.4, -25.4, -26.2, -26.2, -24.1, -5, 5.1, 14.7, 17.2, 12.9, 4.9, -7.4, -13.9, -20.9, 10, 10, 10, 9, 0, 10, 34, 11, 9, 17, 8, 13, 812, 733, 748, 172, 5, 0, 0, 0, 6, 213, 416, 648, 0, 0, 0, 3, 48, 289, 378, 247, 45, 1, 0, 0, 1367, 1234, 1307, 689, 689, 399, 113, 50, 159, 392, 791, 957, 1202, 0, 0, 0, 0, 1, 11, 25, 4, 0, 0, 0, 0, 0, 0, 0, 0, 13, 30, 31, 30, 16, 0, 0, 0, 10, 10, 10, 9, 0, 0, 0, 0, 2, 17, 8, 13, 0, 0, 0, 0, 57, 98, 98, 60, 21, 0, 0, 0, 0, 0, 0, 0, 57, 88, 65, 49, 13, 0, 0, 0, 55, 56, 46, 55, 64, 63, 65, 67, 72, 73, 69, 53, "TAIGA"
"646988", "ak047.crn", 1935, "BRFR", 68.1, -140.9, 100, -27, -16.9, -17.1, -3.5, 8.1, 18.3, 21.5, 13.9, 7.5, -6.9, -20.5, -21.6, -37.3, -26.6, -31.6, -16.4, -3.4, 5.8, 8.3, 3.4, -2.6, -14.6, -28, -30.8, -32.1, -21.8, -24.4, -10, 2.4, 12, 14.9, 8.7, 2.4, -10.7, -24.3, -26.2, 11, 10, 10, 9, 0, 30, 34, 35, 20, 23, 15, 13, 994, 610, 756, 305, 21, 0, 0, 0, 16, 330, 720, 809, 0, 0, 0, 1, 20, 211, 303, 114, 21, 0, 0, 0, 1548, 1109, 1315, 839, 839, 485, 181, 104, 291, 467, 894, 1266, 1365, 0, 0, 0, 0, 0, 3, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28, 31, 26, 7, 0, 0, 0, 11, 10, 10, 9, 0, 0, 0, 3, 8, 23, 15, 13, 0, 0, 0, 0, 52, 92, 99, 52, 21, 0, 0, 0, 0, 0, 0, 0, 52, 62, 65, 17, 1, 0, 0, 0, 48, 55, 36, 47, 60, 61, 60, 66, 64, 66, 63, 57, "TAIGA"
"647315", "ak047.crn", 1966, "BRFR", 68.1, -140.9, 100, -30.8, -22.4, -17.7, -5.5, 9.2, 20.3, 22, 15.2, 9.9, -3.9, -14.9, -20.1, -40.3, -34, -28.8, -20.9, -3.1, 6, 8.8, 3.7, -0.3, -10.8, -24.5, -29.6, -35.6, -28.2, -23.3, -13.2, 3, 13.1, 15.4, 9.4, 4.8, -7.4, -19.7, -24.8, 10, 13, 13, 7, 0, 35, 45, 58, 35, 25, 27, 13, 1099, 789, 722, 399, 15, 0, 0, 0, 6, 212, 586, 768, 0, 0, 0, 0, 25, 244, 324, 136, 43, 1, 0, 0, 1654, 1290, 1281, 934, 934, 464, 147, 90, 267, 397, 789, 1129, 1324, 0, 0, 0, 0, 0, 6, 11, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29, 31, 27, 13, 0, 0, 0, 10, 13, 13, 7, 0, 0, 0, 3, 5, 23, 22, 13, 0, 0, 0, 0, 56, 102, 100, 56, 23, 0, 0, 0, 0, 0, 0, 0, 56, 67, 55, 0, 0, 0, 0, 0, 50, 44, 49, 39, 58, 56, 60, 63, 66, 70, 56, 54, "TAIGA"
"647642", "ak047.crn", 1958, "BRFR", 68.1, -140.9, 100, -25, -23.5, -12.4, -0.8, 11.5, 23.9, 24.8, 20.5, 11.8, -4.4, -17.9, -22.8, -32.6, -35.1, -25.3, -14.3, -1.4, 9.6, 11.8, 8.1, -0.3, -13.2, -25.4, -31, -28.8, -29.3, -18.9, -7.5, 5.1, 16.8, 18.3, 14.3, 5.8, -8.8, -21.7, -26.9, 11, 8, 16, 11, 0, 13, 11, 18, 16, 24, 15, 13, 890, 820, 586, 232, 5, 0, 0, 0, 4, 225, 644, 832, 0, 0, 0, 1, 47, 352, 412, 287, 58, 1, 0, 0, 1444, 1321, 1144, 765, 765, 401, 66, 32, 118, 368, 833, 1188, 1387, 0, 0, 0, 0, 1, 29, 41, 7, 1, 0, 0, 0, 0, 0, 0, 0, 10, 30, 31, 31, 13, 0, 0, 0, 11, 8, 16, 11, 0, 0, 0, 0, 6, 26, 14, 13, 0, 0, 0, 0, 63, 114, 108, 68, 27, 0, 0, 0, 0, 0, 0, 0, 63, 101, 97, 51, 10, 0, 0, 0, 61, 44, 44, 47, 57, 57, 61, 62, 60, 63, 64, 60, "TAIGA"
"647969", "ak047.crn", 1959, "BRFR", 68.1, -140.9, 100, -27.8, -14.2, -19.2, -3.6, 7.5, 18.8, 20.1, 14, 6.9, -5.3, -22.7, -24.8, -37.9, -25.4, -32.5, -17.4, -3.8, 4.9, 7.1, 3.3, -2.5, -13.8, -30.3, -33.9, -32.9, -19.8, -25.9, -10.5, 1.8, 11.9, 13.6, 8.6, 2.2, -9.6, -26.5, -29.3, 10, 22, 12, 8, 0, 10, 53, 43, 12, 20, 16, 13, 1016, 556, 802, 320, 27, 0, 0, 0, 18, 231, 786, 905, 0, 0, 0, 0, 16, 206, 268, 114, 20, 1, 0, 0, 1571, 1055, 1361, 854, 854, 501, 185, 136, 292, 473, 858, 1333, 1461, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27, 31, 26, 7, 0, 0, 0, 10, 22, 12, 8, 0, 0, 1, 3, 3, 24, 15, 13, 0, 0, 0, 0, 50, 96, 94, 52, 20, 0, 0, 0, 0, 0, 0, 0, 50, 86, 41, 9, 8, 0, 0, 0, 49, 49, 40, 44, 60, 57, 60, 65, 67, 63, 62, 59, "TAIGA"
"648296", "ak047.crn", 1998, "BRFR", 68.1, -140.9, 100, -26.8, -16.4, -9.9, 6, 14, 20.1, 25.3, 17.2, 10.9, -2.8, -16.8, -16, -33.5, -25.6, -22.3, -6.3, 2.6, 9.1, 11.7, 8.2, 1.9, -10.5, -23.1, -25.8, -30.2, -21, -16.1, -0.1, 8.3, 14.6, 18.5, 12.7, 6.4, -6.6, -19.9, -20.9, 10, 5, 4, 5, 0, 10, 6, 7, 8, 16, 6, 13, 933, 588, 501, 59, 1, 0, 0, 0, 3, 202, 593, 646, 0, 0, 0, 13, 114, 287, 419, 241, 69, 2, 0, 0, 1487, 1087, 1058, 544, 544, 302, 115, 29, 165, 348, 766, 1136, 1201, 0, 0, 0, 0, 2, 11, 45, 3, 1, 0, 0, 0, 0, 0, 0, 2, 22, 30, 31, 31, 20, 0, 0, 0, 10, 5, 4, 4, 0, 0, 0, 0, 1, 18, 8, 13, 0, 0, 0, 0, 67, 93, 111, 55, 24, 0, 0, 0, 0, 0, 0, 0, 67, 83, 105, 48, 16, 0, 0, 0, 65, 57, 47, 55, 63, 66, 60, 71, 70, 67, 70, 57, "TAIGA"
"648623", "ak047.crn", 1934, "BRFR", 68.1, -140.9, 100, -29.3, -15.3, -14.6, -1.6, 10.1, 19, 21, 15.8, 8.4, -3.1, -17, -18, -39.8, -25.7, -28.3, -15.2, -1.9, 5.5, 8, 5.9, -2.8, -10.9, -24.7, -27.1, -34.6, -20.5, -21.5, -8.4, 4.1, 12.2, 14.5, 10.9, 2.8, -7, -20.9, -22.6, 11, 10, 10, 9, 0, 30, 34, 35, 20, 23, 15, 13, 1068, 574, 667, 258, 9, 0, 0, 0, 14, 207, 621, 698, 0, 0, 0, 1, 35, 217, 293, 181, 24, 2, 0, 0, 1622, 1074, 1225, 791, 791, 431, 175, 114, 222, 456, 778, 1165, 1253, 0, 0, 0, 0, 1, 4, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 8, 28, 31, 30, 7, 0, 0, 0, 11, 10, 10, 9, 0, 0, 0, 1, 8, 23, 15, 13, 0, 0, 0, 0, 58, 96, 96, 55, 22, 0, 0, 0, 0, 0, 0, 0, 58, 66, 62, 20, 2, 0, 0, 0, 46, 52, 40, 46, 59, 58, 60, 68, 61, 67, 63, 45, "TAIGA"
"648950", "ak047.crn", 1952, "BRFR", 68.1, -140.9, 100, -27.3, -24.3, -13.7, -3.5, 6.4, 16.4, 21, 14.6, 5, -2.4, -9.2, -16.8, -39, -31.7, -25.6, -16.2, -4.7, 5.1, 8.3, 4.3, -3, -9.8, -17.1, -26.4, -33.1, -28, -19.7, -9.8, 0.8, 10.8, 14.7, 9.5, 1, -6.1, -13.2, -21.6, 10, 7, 12, 10, 0, 44, 45, 45, 20, 29, 23, 13, 1024, 783, 611, 300, 42, 0, 0, 0, 29, 194, 394, 669, 0, 0, 0, 1, 12, 174, 298, 136, 13, 2, 0, 0, 1578, 1284, 1169, 834, 834, 533, 218, 109, 267, 510, 749, 934, 1223, 0, 0, 0, 0, 0, 2, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28, 31, 28, 6, 1, 0, 0, 10, 7, 12, 10, 0, 1, 0, 3, 4, 28, 23, 13, 0, 0, 0, 0, 47, 84, 96, 53, 17, 0, 0, 0, 0, 0, 0, 0, 47, 40, 51, 8, 0, 0, 0, 0, 42, 62, 47, 48, 60, 64, 61, 67, 70, 69, 65, 47, "TAIGA"
"649277", "ak047.crn", 2000, "BRFR", 68.1, -140.9, 100, -24.4, -16.9, -11.5, -1.8, 6, 20.2, 21.5, 15.6, 7.9, -2.6, -13.7, -17.1, -32.9, -24.7, -23.8, -16.3, -3.6, 8.3, 11.1, 6.2, 0.8, -10.4, -21.4, -26.5, -28.7, -20.8, -17.7, -9.1, 1.2, 14.2, 16.3, 10.9, 4.3, -6.5, -17.5, -21.8, 11, 5, 4, 6, 0, 10, 15, 19, 12, 17, 10, 13, 887, 583, 549, 277, 36, 0, 0, 0, 7, 200, 523, 675, 0, 0, 0, 1, 13, 276, 351, 181, 38, 2, 0, 0, 1441, 1082, 1107, 810, 810, 521, 123, 69, 222, 410, 762, 1065, 1230, 0, 0, 0, 0, 0, 9, 16, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30, 31, 30, 17, 0, 0, 0, 11, 5, 4, 6, 0, 0, 0, 1, 2, 19, 9, 13, 0, 0, 0, 0, 45, 96, 91, 53, 19, 0, 0, 0, 0, 0, 0, 0, 45, 86, 76, 34, 7, 0, 0, 0, 57, 63, 47, 43, 65, 63, 68, 70, 76, 67, 65, 46, "TAIGA"
"649604", "ak047.crn", 1901, "BRFR", 68.1, -140.9, 100, -25.8, -24, -12.4, -3.8, 8.7, 19.2, 22.6, 16.3, 9.8, -3.4, -16.4, -18.7, -36.3, -35.1, -25.3, -19.5, -3, 6.9, 8.4, 4.6, -0.8, -11.9, -25.3, -27.9, -31, -29.6, -18.9, -11.7, 2.9, 13, 15.5, 10.5, 4.5, -7.6, -20.8, -23.3, 11, 10, 10, 9, 0, 30, 34, 35, 20, 23, 15, 13, 960, 826, 586, 355, 17, 0, 0, 0, 7, 215, 620, 721, 0, 0, 0, 0, 23, 241, 328, 167, 40, 1, 0, 0, 1514, 1328, 1144, 889, 889, 469, 149, 87, 236, 406, 798, 1164, 1276, 0, 0, 0, 0, 0, 5, 11, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29, 31, 28, 12, 0, 0, 0, 11, 10, 10, 9, 0, 0, 0, 2, 5, 23, 15, 13, 0, 0, 0, 0, 54, 94, 104, 58, 24, 0, 0, 0, 0, 0, 0, 0, 54, 64, 70, 23, 3, 0, 0, 0, 47, 46, 44, 38, 59, 62, 57, 63, 64, 64, 58, 56, "TAIGA"
"649931", "ak047.crn", 1969, "BRFR", 68.1, -140.9, 100, -26.1, -22.9, -13.6, 0.9, 11.3, 20.3, 19.6, 11.8, 8.9, -0.1, -21.2, -14.7, -38.9, -33.3, -27.2, -9.9, -0.6, 7.5, 8, 1.9, -1.7, -7.8, -28.1, -24.6, -32.5, -28.1, -20.4, -4.5, 5.3, 13.9, 13.8, 6.9, 3.6, -4, -24.6, -19.6, 10, 7, 7, 8, 0, 7, 32, 39, 8, 17, 19, 13, 1005, 786, 633, 161, 5, 0, 0, 1, 10, 151, 732, 609, 0, 0, 0, 3, 51, 267, 273, 73, 31, 4, 0, 0, 1559, 1288, 1191, 675, 675, 393, 130, 132, 347, 431, 684, 1278, 1163, 0, 0, 0, 0, 1, 8, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 29, 31, 21, 9, 1, 0, 0, 10, 7, 7, 8, 0, 0, 0, 5, 5, 18, 20, 13, 0, 0, 0, 0, 61, 99, 89, 47, 23, 0, 0, 0, 0, 0, 0, 0, 61, 92, 57, 8, 15, 0, 0, 0, 38, 49, 41, 57, 60, 61, 64, 67, 64, 68, 66, 48, "TAIGA"
"650258", "ak047.crn", 1984, "BRFR", 68.1, -140.9, 100, -25.3, -24.8, -14.4, -2.9, 9.9, 20.1, 20.1, 14.2, 9.5, -5.4, -22.3, -23, -34.6, -33.8, -27.2, -15.5, -2.2, 8.4, 8, 4.3, -0.9, -12.1, -29.9, -34.8, -29.9, -29.3, -20.8, -9.2, 3.9, 14.3, 14, 9.2, 4.3, -8.8, -26.1, -28.9, 11, 6, 7, 9, 0, 16, 45, 57, 9, 26, 13, 13, 926, 819, 646, 282, 10, 0, 0, 0, 8, 225, 775, 893, 0, 0, 0, 1, 32, 277, 281, 130, 37, 1, 0, 0, 1480, 1320, 1204, 815, 815, 438, 122, 126, 274, 412, 833, 1321, 1449, 0, 0, 0, 0, 0, 10, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30, 31, 28, 11, 0, 0, 0, 11, 6, 7, 9, 0, 0, 0, 4, 12, 19, 11, 13, 0, 0, 0, 0, 57, 96, 92, 51, 23, 0, 0, 0, 0, 0, 0, 0, 57, 80, 47, 0, 14, 0, 0, 0, 53, 55, 44, 49, 59, 64, 63, 68, 65, 71, 62, 50, "TAIGA"
"650585", "ak047.crn", 1964, "BRFR", 68.1, -140.9, 100, -26.6, -22.4, -19.6, -7.7, 8.9, 17.6, 20, 15.2, 7.4, -3.4, -16.1, -27.1, -37.7, -32.9, -32.8, -21.9, -3.3, 5.7, 7.3, 5.3, -2, -11.9, -24.4, -35.6, -32.2, -27.7, -26.2, -14.8, 2.8, 11.7, 13.6, 10.3, 2.7, -7.6, -20.3, -31.3, 11, 11, 6, 16, 0, 36, 33, 40, 12, 23, 14, 13, 995, 773, 813, 446, 17, 0, 0, 0, 15, 215, 603, 968, 0, 0, 0, 0, 23, 201, 269, 161, 23, 1, 0, 0, 1549, 1275, 1372, 982, 982, 471, 191, 136, 242, 459, 798, 1147, 1525, 0, 0, 0, 0, 0, 3, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28, 31, 29, 8, 0, 0, 0, 11, 11, 6, 16, 0, 0, 0, 2, 4, 30, 19, 13, 0, 0, 0, 0, 55, 89, 93, 53, 21, 0, 0, 0, 0, 0, 0, 0, 55, 52, 59, 13, 8, 0, 0, 0, 45, 49, 40, 41, 58, 63, 61, 68, 67, 64, 61, 51, "TAIGA"
"650912", "ak047.crn", 2002, "BRFR", 68.1, -140.9, 100, -19.1, -18.6, -15.3, -5.2, 10.4, 19.6, 21.6, 15.4, 10, -1, -10.6, -12.3, -27.8, -29.4, -29.5, -19, -2.7, 6.7, 8.8, 5, -0.3, -8.6, -16.4, -19.9, -23.5, -24, -22.4, -12.1, 3.9, 13.2, 15.2, 10.2, 4.8, -4.8, -13.5, -16.1, 11, 10, 8, 10, 0, 27, 30, 42, 18, 22, 16, 13, 727, 671, 695, 368, 10, 0, 0, 0, 6, 168, 405, 499, 0, 0, 0, 0, 32, 245, 317, 160, 44, 3, 0, 0, 1282, 1172, 1253, 903, 903, 439, 146, 96, 243, 396, 708, 945, 1053, 0, 0, 0, 0, 0, 6, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29, 31, 29, 13, 1, 0, 0, 11, 10, 8, 10, 0, 0, 0, 2, 5, 22, 13, 13, 0, 0, 0, 0, 60, 97, 98, 55, 24, 0, 0, 0, 0, 0, 0, 0, 60, 70, 67, 13, 6, 0, 0, 0, 58, 50, 38, 44, 56, 60, 61, 67, 65, 68, 74, 51, "TAIGA"
"651239", "ak047.crn", 1945, "BRFR", 68.1, -140.9, 100, -18.4, -17.8, -13.4, -6.3, 9.4, 17.8, 19.6, 15.7, 7.6, -3.8, -22.6, -19.1, -27.2, -27.4, -25.4, -19.6, -3.4, 5.8, 8.7, 6.2, -1.1, -11.4, -29.7, -27.8, -22.8, -22.6, -19.4, -13, 3, 11.8, 14.1, 10.9, 3.3, -7.6, -26.1, -23.4, 11, 10, 10, 9, 0, 29, 37, 34, 23, 23, 15, 13, 705, 633, 603, 393, 16, 0, 0, 0, 12, 215, 776, 724, 0, 0, 0, 0, 24, 205, 283, 183, 27, 1, 0, 0, 1260, 1133, 1161, 927, 927, 465, 186, 123, 220, 442, 797, 1323, 1279, 0, 0, 0, 0, 0, 3, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28, 31, 30, 11, 0, 0, 0, 11, 10, 10, 9, 0, 0, 0, 1, 7, 23, 14, 13, 0, 0, 0, 0, 57, 90, 87, 53, 20, 0, 0, 0, 0, 0, 0, 0, 57, 60, 50, 19, 0, 0, 0, 0, 58, 55, 47, 45, 56, 62, 66, 70, 70, 68, 64, 62, "TAIGA"
"651566", "ak047.crn", 2011, "BRFR", 68.1, -140.9, 100, -21.9, -17.6, -13, -2.1, 12.1, 18.5, 21.4, 17, 10.1, -1.3, -18.2, -17.3, -33, -28.6, -27.1, -14.8, -0.2, 7.3, 11.1, 6.9, 1.5, -6.6, -26.4, -27.9, -27.4, -23.1, -20, -8.5, 5.9, 12.9, 16.3, 12, 5.8, -3.9, -22.3, -22.6, 11, 10, 9, 9, 0, 29, 34, 34, 19, 23, 14, 13, 848, 647, 622, 260, 3, 0, 0, 0, 4, 150, 662, 699, 0, 0, 0, 1, 61, 238, 350, 216, 58, 4, 0, 0, 1403, 1147, 1181, 793, 793, 374, 151, 69, 189, 366, 683, 1207, 1254, 0, 0, 0, 0, 1, 5, 16, 2, 1, 0, 0, 0, 0, 0, 0, 0, 13, 29, 31, 30, 18, 2, 0, 0, 11, 10, 9, 9, 0, 0, 0, 1, 7, 23, 15, 13, 0, 0, 0, 0, 64, 90, 91, 57, 23, 0, 0, 0, 0, 0, 0, 0, 64, 60, 57, 23, 4, 0, 0, 0, 47, 49, 40, 49, 59, 65, 68, 68, 71, 78, 61, 54, "TAIGA"
"651893", "ak047.crn", 1985, "BRFR", 68.1, -140.9, 100, -17.5, -24.3, -11.5, -8, 10.5, 19.4, 19.9, 16.1, 8.5, -7.3, -17.5, -15.6, -26.8, -32.8, -25.3, -21, -1.8, 7.3, 7.2, 4.8, -0.6, -13.5, -25.3, -24.2, -22.1, -28.5, -18.4, -14.5, 4.4, 13.3, 13.6, 10.4, 3.9, -10.4, -21.4, -19.9, 12, 10, 11, 7, 0, 16, 30, 13, 32, 21, 11, 13, 686, 798, 572, 438, 8, 0, 0, 0, 9, 319, 636, 616, 0, 0, 0, 0, 38, 249, 266, 166, 34, 1, 0, 0, 1241, 1299, 1130, 973, 973, 423, 143, 138, 236, 423, 883, 1180, 1170, 0, 0, 0, 0, 1, 6, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29, 31, 28, 12, 0, 0, 0, 12, 10, 11, 7, 0, 0, 0, 1, 2, 25, 13, 13, 0, 0, 0, 0, 59, 94, 92, 58, 21, 0, 0, 0, 0, 0, 0, 0, 59, 78, 63, 44, 0, 0, 0, 0, 56, 57, 41, 45, 59, 62, 61, 64, 69, 73, 63, 44, "TAIGA"
"652220", "ak047.crn", 1951, "BRFR", 68.1, -140.9, 100, -30.7, -23.3, -17.4, -1.9, 10, 17.9, 22.4, 19, 8.7, -6, -9.6, -20.9, -39.6, -33.9, -30.2, -13, -2, 6.6, 8.7, 7.4, -0.1, -14.5, -19.5, -32.1, -35.1, -28.6, -23.8, -7.4, 4, 12.3, 15.5, 13.2, 4.3, -10.2, -14.5, -26.5, 10, 11, 5, 14, 0, 56, 20, 24, 16, 28, 23, 13, 1086, 799, 738, 229, 10, 0, 0, 0, 8, 315, 434, 819, 0, 0, 0, 1, 33, 219, 327, 255, 38, 1, 0, 0, 1640, 1301, 1296, 762, 762, 435, 173, 88, 151, 411, 878, 975, 1375, 0, 0, 0, 0, 1, 4, 11, 4, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29, 31, 30, 14, 0, 0, 0, 10, 11, 5, 14, 0, 0, 0, 0, 3, 26, 15, 13, 0, 0, 0, 0, 57, 88, 102, 64, 21, 0, 0, 0, 0, 0, 0, 0, 57, 32, 82, 40, 5, 0, 0, 0, 52, 48, 42, 54, 59, 64, 59, 64, 70, 63, 57, 60, "TAIGA"
"652547", "ak047.crn", 1991, "BRFR", 68.1, -140.9, 100, -20.5, -21, -13.6, 0.7, 14.1, 20.6, 18.6, 14, 9.6, -3.6, -21.5, -23.1, -31.2, -30.8, -26.8, -12.4, 3.1, 6.7, 7.1, 4, 0.3, -11.9, -28.8, -33.7, -25.9, -25.9, -20.2, -5.9, 8.6, 13.6, 12.9, 9, 5, -7.7, -25.1, -28.4, 11, 9, 11, 7, 0, 31, 37, 27, 20, 22, 24, 13, 801, 724, 627, 193, 1, 0, 0, 0, 6, 216, 746, 877, 0, 0, 0, 2, 123, 258, 245, 123, 46, 1, 0, 0, 1355, 1225, 1185, 716, 716, 291, 137, 160, 281, 391, 801, 1292, 1433, 0, 0, 0, 0, 3, 7, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 24, 29, 31, 27, 15, 0, 0, 0, 11, 9, 11, 7, 0, 0, 0, 2, 9, 23, 16, 13, 0, 0, 0, 0, 67, 102, 86, 51, 23, 0, 0, 0, 0, 0, 0, 0, 67, 71, 49, 24, 3, 0, 0, 0, 49, 53, 42, 49, 64, 58, 64, 67, 69, 65, 63, 45, "TAIGA"
"652874", "ak047.crn", 2003, "BRFR", 68.1, -140.9, 100, -18.7, -16, -13.9, -0.4, 9.5, 19.5, 22.2, 16.3, 7.9, 0.2, -16.8, -17.8, -28.6, -25.1, -26.6, -15.8, -2.4, 6.6, 10.3, 6.1, -1, -6.5, -24, -26.4, -23.7, -20.5, -20.3, -8.1, 3.5, 13, 16.2, 11.2, 3.5, -3.1, -20.4, -22.1, 11, 10, 9, 8, 0, 28, 34, 40, 17, 21, 14, 13, 733, 576, 630, 249, 12, 0, 0, 0, 11, 130, 607, 684, 0, 0, 0, 1, 29, 241, 349, 190, 29, 5, 0, 0, 1287, 1075, 1188, 782, 782, 449, 149, 70, 213, 436, 658, 1151, 1239, 0, 0, 0, 0, 0, 5, 16, 2, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29, 31, 30, 11, 2, 0, 0, 11, 10, 9, 8, 0, 0, 0, 1, 4, 21, 15, 13, 0, 0, 0, 0, 56, 97, 97, 56, 21, 0, 0, 0, 0, 0, 0, 0, 56, 68, 63, 16, 3, 0, 0, 0, 53, 57, 44, 40, 59, 60, 64, 67, 69, 72, 65, 65, "TAIGA"
